Date,Close,High,Low,Open,Volume,Stock,Return,MA20,MA50,Volatility,RSI,MACD,Trend
2025-06-19,954.7447509765624,960.4180648603084,949.9593979158448,954.0540746334422,16876220,HDFC BANK,0.0007239357230033328,957.3593780517579,945.8973181152344,0.007134071291690807,50.87959166974524,2.8037564141329767,Sideways
2025-06-20,969.2486572265624,971.8140179089728,952.9193918485256,952.9193918485256,32900408,HDFC BANK,0.015191396690230174,958.1265075683593,947.9397119140625,0.007735064412799311,58.41483386600431,3.6109208671091437,Bullish
2025-06-23,961.2073974609376,965.8940481289004,957.9514206200562,961.2073974609376,11739518,HDFC BANK,-0.008296384736435236,958.3287780761718,949.7083056640626,0.007968598216858488,53.51341616402073,3.56069655845522,Sideways
2025-06-24,967.3740234375,976.3033140635844,964.7593416610488,969.3966711141704,22625322,HDFC BANK,0.006415499914848466,959.182241821289,951.6411791992188,0.007882495123160105,56.525982018271165,3.972693869652062,Bullish
2025-06-25,976.8953247070312,977.7833457795492,968.854054817417,969.8900392545884,18405932,HDFC BANK,0.009842419828163251,960.5808380126953,953.3525463867187,0.008105024792637654,60.754886614962764,5.009744925627501,Bullish
2025-06-26,997.4179077148438,1000.03252920567,976.7966216145232,977.4872979366618,50084830,HDFC BANK,0.02100796522285253,962.9068969726562,954.9006201171875,0.009208188718331817,67.9840073183461,7.402287332777178,Bullish
2025-06-27,1004.9491577148438,1007.393088107433,994.2258430942326,1004.0015037809444,28213384,HDFC BANK,0.0075507467248654425,965.1803192138672,956.4700659179688,0.00915830624645821,70.15655151503461,9.793213294700422,Bullish
2025-06-30,998.2658081054688,1004.400566128524,995.2732550959096,1003.2533964547342,13649020,HDFC BANK,-0.006650435554941159,967.4353088378906,957.6226733398438,0.009161866473811054,65.88394366266093,11.021697617456994,Bullish
2025-07-01,1003.5526123046876,1005.4977838847652,999.5126780283082,1000.0114368496796,14389386,HDFC BANK,0.005295988459478762,970.1396362304688,958.6797375488281,0.009062405993087165,67.56662056544229,12.280321309384021,Bullish
2025-07-02,990.5350341796876,1007.4429706558584,986.4950998423908,1007.4429706558584,18878250,HDFC BANK,-0.012971495430722624,971.7836212158203,959.1350646972656,0.009603883840942892,59.751870932966966,12.088036530302475,Bullish
2025-07-03,991.0836181640624,1001.507689459166,989.6871300276722,994.9739612315548,16860506,HDFC BANK,0.0005538259278523583,973.247836303711,959.9743225097657,0.009587287303358847,59.962032120089845,11.8433923456696,Bullish
2025-07-04,992.1809692382812,999.2633203019868,987.5424877454124,991.0836632772651,7863944,HDFC BANK,0.001107223501737975,974.04912109375,960.9055798339843,0.009055311571481369,60.407388944457296,11.604290094733528,Bullish
2025-07-07,991.2332763671876,996.7196233059492,989.4377568185034,992.031278290642,11349426,HDFC BANK,-0.0009551613067333431,974.7980834960938,961.8731372070313,0.009063007065470847,59.78885572326281,11.209117217875928,Bullish
2025-07-08,998.2159423828124,1000.0114620081928,986.0462146584524,986.0462146584524,15224316,HDFC BANK,0.007044422521019333,976.2316436767578,962.8915478515624,0.008976725983887738,62.81042477660693,11.328791401437684,Bullish
2025-07-09,1003.1036987304688,1004.4005203490876,996.5699704674604,1001.0089360727128,13861428,HDFC BANK,0.0048964919714555855,978.2771270751953,964.1201928710938,0.008743166248267835,64.80408573768185,11.683356679523627,Bullish
2025-07-10,1000.6099243164062,1005.9965439473216,997.5176439735465,1005.4977851253348,17030310,HDFC BANK,-0.0024860584376457107,980.3705871582031,965.1391235351563,0.008708670411169702,62.949882602055645,11.629072751209378,Bullish
2025-07-11,989.3878784179688,999.91173856234,987.9913902076418,996.5201541247732,12516922,HDFC BANK,-0.011215205471906686,982.5393432617187,965.9641979980469,0.008526543255585523,55.28412747466084,10.558811621729433,Bullish
2025-07-14,989.0387573242188,991.8816582943851,982.8541356715338,989.0387573242188,13088850,HDFC BANK,-0.00035286574796955517,984.251577758789,966.6352783203125,0.008380940286949317,55.05949065629169,9.572109491476112,Bullish
2025-07-15,995.2732543945312,999.31318877786,984.0511806165924,984.0511806165924,14498168,HDFC BANK,0.006303592274967684,986.418603515625,967.4813696289062,0.008358961891216531,58.31674814465125,9.187307195701806,Bullish
2025-07-16,995.6722412109376,1008.8394251469304,993.826797075495,1006.4952830829004,17994612,HDFC BANK,0.00040088168213570086,988.49951171875,968.1982934570312,0.008369327576615392,58.523930847590776,8.812953266182149,Bullish
2025-07-17,990.98388671875,999.9116815490104,988.8890631972324,999.5126501495852,22529158,HDFC BANK,-0.004708732751739331,990.3114685058594,968.9901696777343,0.008505790878905909,55.06070923611953,8.04522372355018,Bullish
2025-07-18,976.2705078125,996.021344530824,974.0759568696542,990.9838927216936,16129446,HDFC BANK,-0.014847243334064175,990.6625610351563,969.8706042480469,0.008685245430134174,45.884039529060914,6.178325921575606,Sideways
2025-07-21,997.7670288085938,998.5151670456409,985.7968170158388,986.6446826643672,22309078,HDFC BANK,0.02201902118733501,992.4905426025391,970.514970703125,0.009676982083455361,57.12673200220883,6.360070618616419,Bullish
2025-07-22,1001.058837890625,1006.4953213272488,999.0139388595042,1004.051390877723,14836814,HDFC BANK,0.0032991760470997278,994.1747833251953,971.5665600585937,0.009625613379595143,58.54694235464483,6.692578206960206,Bullish
2025-07-23,1009.6375122070312,1012.3806857402004,999.0139248978444,1003.0039954915454,13634916,HDFC BANK,0.008569600498690821,995.8118927001954,972.9081213378906,0.009573406260888935,62.07296578250857,7.5611598446412245,Bullish
2025-07-24,1004.5999755859376,1016.320807677376,1001.7072110041944,1016.320807677376,19107176,HDFC BANK,-0.004989450728788536,996.17099609375,973.9200256347656,0.008519792881000434,58.90442526255143,7.753650686786841,Bullish
2025-07-25,1002.2999877929688,1007.5,999.5,1007.5,9306598,HDFC BANK,-0.0022894563496553832,996.0385375976563,974.87705078125,0.008367466921602866,57.46220674394247,7.63262709886601,Bullish
2025-07-28,1004.25,1010.7000122070312,1000.25,1001.5,12059580,HDFC BANK,0.0019455374945429593,996.3377471923828,975.8336096191406,0.008232913081860927,58.392356228583346,7.6063830724363015,Bullish
2025-07-29,1010.7999877929688,1013.25,998.1500244140624,999.9500122070312,19895696,HDFC BANK,0.0065222681533172455,996.7001159667968,977.1559936523438,0.008276287592693781,61.442201892112934,8.021645233818504,Bullish
2025-07-30,1012.9000244140624,1016.2999877929688,1008.5,1014.0,15154036,HDFC BANK,0.0020775985817718112,997.8183654785156,978.4029650878906,0.007658386088437939,62.3939745760206,8.423102609418265,Bullish
2025-07-31,1009.0999755859376,1015.7000122070312,1004.0,1007.2999877929688,22183032,HDFC BANK,-0.0037516524203097257,998.7191833496094,979.6420153808593,0.007735991008662958,59.530410654886126,8.33850716971665,Bullish
2025-08-01,1006.0999755859376,1014.1500244140624,1004.6500244140624,1007.0,11317258,HDFC BANK,-0.0029729462616011615,999.4151336669922,980.6858935546875,0.0077847039209414815,57.29479985944811,7.937886729270076,Bullish
2025-08-04,996.0,1009.25,994.0499877929688,1005.0499877929688,13933946,HDFC BANK,-0.010038739519952267,999.6534698486328,981.4626538085937,0.008144579024603324,50.428578526622736,6.727854010050123,Sideways
2025-08-05,988.7999877929688,997.2000122070312,982.75,993.25,23978058,HDFC BANK,-0.007228927918706107,999.1826721191406,982.23255859375,0.008145199837518395,46.17990626536541,5.12879202821955,Sideways
2025-08-06,992.6500244140624,994.0,985.0,985.5499877929688,14080204,HDFC BANK,0.0038936454982032576,998.6599884033203,983.1070910644531,0.00811362938661721,48.67026459853038,4.124643345240543,Sideways
2025-08-07,997.7000122070312,1000.7999877929688,988.4000244140624,990.0499877929688,13081186,HDFC BANK,0.005087379911111967,998.5144927978515,984.0431567382813,0.008192042218976776,51.81945725998351,3.693760715619078,Sideways
2025-08-08,986.9500122070312,996.4000244140624,985.0,993.5499877929688,13895264,HDFC BANK,-0.010774781866765504,998.3925994873047,984.5925427246094,0.008161163532120963,45.429847904113075,2.4565306130313047,Sideways
2025-08-11,997.7999877929688,998.7999877929688,986.5499877929688,987.9500122070312,9105854,HDFC BANK,0.010993439841674002,998.8306610107422,985.4852221679688,0.00852817243547731,51.87924162608559,2.324721256172211,Sideways
2025-08-12,984.9500122070312,998.0,983.75,995.9500122070312,12937802,HDFC BANK,-0.012878308020789153,998.3144989013672,986.1949011230469,0.008908379980596235,45.083463051750506,1.1698899895989143,Bearish
2025-08-13,990.1500244140624,997.0,984.5499877929688,997.0,13577396,HDFC BANK,0.005279468138062349,998.0383880615234,986.844794921875,0.009000192713788479,48.04914804114077,0.6665913671797625,Sideways
2025-08-14,995.5499877929688,998.0,985.5999755859376,989.0,17511716,HDFC BANK,0.0054536820135937525,998.2666931152344,987.5198083496093,0.009021446988062565,51.007967513116625,0.695438911269207,Sideways
2025-08-18,1001.7999877929688,1013.2999877929688,997.7999877929688,1005.0,19284796,HDFC BANK,0.0062779368958214565,999.5431671142578,988.0327026367188,0.008371816876086874,54.25539569632271,1.2086905322935309,Sideways
2025-08-19,995.5499877929688,1003.0499877929688,993.3499755859376,999.1500244140624,12352438,HDFC BANK,-0.006238770289635487,999.4323150634766,988.4186218261718,0.00696111924129434,50.640492261155906,1.0984609985398492,Sideways
2025-08-20,994.0999755859376,996.0,989.5,993.5,9950228,HDFC BANK,-0.0014564936214259694,999.0843719482422,988.9097265625,0.006920426913900453,49.8112948808506,0.8839102647127675,Sideways
